fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.7884628773140884,0.8453026503642173,0.7557354197830389,0.8271703135977384,0.8689699145601129,0.8020833333333334,0
1,0.8295199606949488,0.8532751419656183,0.8159779699634772,0.853872219847646,0.8768008693184749,0.8415492957746479,0
2,0.8304078304834032,0.867135087135087,0.8093371267180791,0.846060332984661,0.8796365093240094,0.8263888888888888,0
3,0.7953245430998638,0.855000753215039,0.7687188587809705,0.8376811628159824,0.8826719704747387,0.8131487889273357,0
4,0.8249121244637075,0.8663586622233239,0.806396502048676,0.8477666843212415,0.8743389174691113,0.8315789473684211,0
0,0.8384579591497561,0.8711669867308964,0.8289863621540641,0.8506235778412626,0.8881865741913588,0.8286713286713286,1
1,0.7962545559366618,0.8426733319590463,0.7720341923240475,0.8441371107252641,0.8767450663577425,0.8204225352112676,1
2,0.8632654543016971,0.8883391740534596,0.8508308622594337,0.8740884087015783,0.8926761391918187,0.8641114982578397,1
3,0.7941019508967175,0.8066427270208782,0.7951409701409702,0.8234959606674048,0.8455458500090339,0.8146853146853147,1
4,0.8303007699039795,0.8755509041223326,0.7997327000122031,0.8544482540579516,0.8850699033688724,0.8316151202749141,1
0,0.8025311464462638,0.8334399817806865,0.7804156954156954,0.8324069317913669,0.86180078381813,0.8118466898954704,2
1,0.8143141193924986,0.8434647363218791,0.7992102694483646,0.8463410674384474,0.8619624320316362,0.8373702422145328,2
2,0.8158728574275306,0.8470045413523676,0.8043895373087919,0.8349017749907275,0.8643097185500013,0.8197879858657244,2
3,0.8190706411288237,0.882130019451448,0.797073104029626,0.8425565726838493,0.8718676669588128,0.8333333333333334,2
4,0.8344026322298197,0.8777994381405082,0.8116365863260274,0.8610959373327846,0.8964336610540534,0.8397212543554007,2
0,0.7962698554405133,0.8358316286887715,0.7810607734417259,0.8352654672710529,0.8616317245183224,0.8213058419243986,3
1,0.8180721187958517,0.8551887495986876,0.7896304673012747,0.8532026472941319,0.8859268814297901,0.8274647887323944,3
2,0.8378033924875439,0.8682685568399853,0.8236266934507102,0.8522789676597072,0.8763268661163398,0.8385964912280702,3
3,0.7698304083497989,0.8038302377220324,0.7544244908530623,0.815267387773497,0.8526381846439015,0.794425087108014,3
4,0.8279924188360945,0.882729843256159,0.7896445732781137,0.8476035295134255,0.8807687971909502,0.8222996515679443,3
0,0.8481388258255549,0.8944198244819364,0.8149585450206568,0.85872404361141,0.8894938394938394,0.8356643356643356,4
1,0.8595949452463267,0.8863757219134792,0.8399101841337866,0.8810543193108923,0.9070051820795528,0.8601398601398601,4
2,0.814366586514826,0.8302171487516316,0.8162511562511561,0.8400017832342194,0.8458694550473357,0.8432055749128919,4
3,0.8265063832377926,0.8627103125223426,0.8033717869432154,0.8542595455766069,0.8792735348071861,0.8362369337979094,4
4,0.8332834032571919,0.8727967103906955,0.8054741669648502,0.8510199581768187,0.8873879775195564,0.8229166666666666,4
